symbol,yf_symbol,exchange,sector,notes,active
IOB,IOB.NS,NSE,Financial Services,,True
IRCTC,IRCTC.NS,NSE,Consumer Services,,True
IRFC,IRFC.NS,NSE,Financial Services,,True
IREDA,IREDA.NS,NSE,Financial Services,,True
IGL,IGL.NS,NSE,Oil Gas & Consumable Fuels,,True
INDUSTOWER,INDUSTOWER.NS,NSE,Telecommunication,,True
INDUSINDBK,INDUSINDBK.NS,NSE,Financial Services,,True
NAUKRI,NAUKRI.NS,NSE,Consumer Services,,True
INFY,INFY.NS,NSE,Information Technology,,True
INOXWIND,INOXWIND.NS,NSE,Capital Goods,,True
INTELLECT,INTELLECT.NS,NSE,Information Technology,,True
INDIGO,INDIGO.NS,NSE,Services,,True
IGIL,IGIL.NS,NSE,Services,,True
IKS,IKS.NS,NSE,Information Technology,,True
IPCALAB,IPCALAB.NS,NSE,Healthcare,,True
JBCHEPHARM,JBCHEPHARM.NS,NSE,Healthcare,,True
JKCEMENT,JKCEMENT.NS,NSE,Construction Materials,,True
JBMA,JBMA.NS,NSE,Automobile and Auto Components,,True
JKTYRE,JKTYRE.NS,NSE,Automobile and Auto Components,,True
JMFINANCIL,JMFINANCIL.NS,NSE,Financial Services,,True
JSWCEMENT,JSWCEMENT.NS,NSE,Construction Materials,,True
JSWDULUX,JSWDULUX.NS,NSE,Consumer Durables,,True
JSWENERGY,JSWENERGY.NS,NSE,Power,,True
JSWINFRA,JSWINFRA.NS,NSE,Services,,True
JSWSTEEL,JSWSTEEL.NS,NSE,Metals & Mining,,True
JAINREC,JAINREC.NS,NSE,Metals & Mining,,True
JPPOWER,JPPOWER.NS,NSE,Power,,True
J&KBANK,J&KBANK.NS,NSE,Financial Services,,True
JINDALSAW,JINDALSAW.NS,NSE,Capital Goods,,True
JSL,JSL.NS,NSE,Metals & Mining,,True
JINDALSTEL,JINDALSTEL.NS,NSE,Metals & Mining,,True
JIOFIN,JIOFIN.NS,NSE,Financial Services,,True
JUBLFOOD,JUBLFOOD.NS,NSE,Consumer Services,,True
JUBLINGREA,JUBLINGREA.NS,NSE,Chemicals,,True
JUBLPHARMA,JUBLPHARMA.NS,NSE,Healthcare,,True
JWL,JWL.NS,NSE,Capital Goods,,True
JYOTICNC,JYOTICNC.NS,NSE,Capital Goods,,True
KPRMILL,KPRMILL.NS,NSE,Textiles,,True
KEI,KEI.NS,NSE,Capital Goods,,True
KPITTECH,KPITTECH.NS,NSE,Information Technology,,True
KAJARIACER,KAJARIACER.NS,NSE,Consumer Durables,,True
KPIL,KPIL.NS,NSE,Construction,,True
KALYANKJIL,KALYANKJIL.NS,NSE,Consumer Durables,,True
KARURVYSYA,KARURVYSYA.NS,NSE,Financial Services,,True
KAYNES,KAYNES.NS,NSE,Capital Goods,,True
KEC,KEC.NS,NSE,Construction,,True
KFINTECH,KFINTECH.NS,NSE,Financial Services,,True
KIRLOSENG,KIRLOSENG.NS,NSE,Capital Goods,,True
KOTAKBANK,KOTAKBANK.NS,NSE,Financial Services,,True
KIMS,KIMS.NS,NSE,Healthcare,,True
LTF,LTF.NS,NSE,Financial Services,,True
LTTS,LTTS.NS,NSE,Information Technology,,True
LGEINDIA,LGEINDIA.NS,NSE,Consumer Durables,,True
LICHSGFIN,LICHSGFIN.NS,NSE,Financial Services,,True
LTFOODS,LTFOODS.NS,NSE,Fast Moving Consumer Goods,,True
LTM,LTM.NS,NSE,Information Technology,,True
LT,LT.NS,NSE,Construction,,True
LATENTVIEW,LATENTVIEW.NS,NSE,Information Technology,,True
LAURUSLABS,LAURUSLABS.NS,NSE,Healthcare,,True
THELEELA,THELEELA.NS,NSE,Consumer Services,,True
LEMONTREE,LEMONTREE.NS,NSE,Consumer Services,,True
LENSKART,LENSKART.NS,NSE,Consumer Services,,True
LICI,LICI.NS,NSE,Financial Services,,True
LINDEINDIA,LINDEINDIA.NS,NSE,Chemicals,,True
LLOYDSME,LLOYDSME.NS,NSE,Metals & Mining,,True
LODHA,LODHA.NS,NSE,Realty,,True
LUPIN,LUPIN.NS,NSE,Healthcare,,True
MMTC,MMTC.NS,NSE,Services,,True
MRF,MRF.NS,NSE,Automobile and Auto Components,,True
MGL,MGL.NS,NSE,Oil Gas & Consumable Fuels,,True
M&MFIN,M&MFIN.NS,NSE,Financial Services,,True
M&M,M&M.NS,NSE,Automobile and Auto Components,,True
MANAPPURAM,MANAPPURAM.NS,NSE,Financial Services,,True
MRPL,MRPL.NS,NSE,Oil Gas & Consumable Fuels,,True
MANKIND,MANKIND.NS,NSE,Healthcare,,True
MARICO,MARICO.NS,NSE,Fast Moving Consumer Goods,,True
MARUTI,MARUTI.NS,NSE,Automobile and Auto Components,,True
MFSL,MFSL.NS,NSE,Financial Services,,True
MAXHEALTH,MAXHEALTH.NS,NSE,Healthcare,,True
MAZDOCK,MAZDOCK.NS,NSE,Capital Goods,,True
MEESHO,MEESHO.NS,NSE,Consumer Services,,True
MINDACORP,MINDACORP.NS,NSE,Automobile and Auto Components,,True
MSUMI,MSUMI.NS,NSE,Automobile and Auto Components,,True
MOTILALOFS,MOTILALOFS.NS,NSE,Financial Services,,True
MPHASIS,MPHASIS.NS,NSE,Information Technology,,True
MCX,MCX.NS,NSE,Financial Services,,True
MUTHOOTFIN,MUTHOOTFIN.NS,NSE,Financial Services,,True
NATCOPHARM,NATCOPHARM.NS,NSE,Healthcare,,True
NBCC,NBCC.NS,NSE,Construction,,True
NCC,NCC.NS,NSE,Construction,,True
NHPC,NHPC.NS,NSE,Power,,True
NLCINDIA,NLCINDIA.NS,NSE,Power,,True
NMDC,NMDC.NS,NSE,Metals & Mining,,True
NSLNISP,NSLNISP.NS,NSE,Metals & Mining,,True
NTPCGREEN,NTPCGREEN.NS,NSE,Power,,True
NTPC,NTPC.NS,NSE,Power,,True
NH,NH.NS,NSE,Healthcare,,True
NATIONALUM,NATIONALUM.NS,NSE,Metals & Mining,,True
NAVA,NAVA.NS,NSE,Power,,True
NAVINFLUOR,NAVINFLUOR.NS,NSE,Chemicals,,True
NESTLEIND,NESTLEIND.NS,NSE,Fast Moving Consumer Goods,,True
NETWEB,NETWEB.NS,NSE,Information Technology,,True
NEULANDLAB,NEULANDLAB.NS,NSE,Healthcare,,True
NEWGEN,NEWGEN.NS,NSE,Information Technology,,True
NAM-INDIA,NAM-INDIA.NS,NSE,Financial Services,,True
NIVABUPA,NIVABUPA.NS,NSE,Financial Services,,True
NUVAMA,NUVAMA.NS,NSE,Financial Services,,True
NUVOCO,NUVOCO.NS,NSE,Construction Materials,,True
OBEROIRLTY,OBEROIRLTY.NS,NSE,Realty,,True
ONGC,ONGC.NS,NSE,Oil Gas & Consumable Fuels,,True
OIL,OIL.NS,NSE,Oil Gas & Consumable Fuels,,True
OLAELEC,OLAELEC.NS,NSE,Automobile and Auto Components,,True
OLECTRA,OLECTRA.NS,NSE,Automobile and Auto Components,,True
PAYTM,PAYTM.NS,NSE,Financial Services,,True
ONESOURCE,ONESOURCE.NS,NSE,Healthcare,,True
OFSS,OFSS.NS,NSE,Information Technology,,True
POLICYBZR,POLICYBZR.NS,NSE,Financial Services,,True
PCBL,PCBL.NS,NSE,Chemicals,,True
PGEL,PGEL.NS,NSE,Consumer Durables,,True
PIIND,PIIND.NS,NSE,Chemicals,,True
PNBHOUSING,PNBHOUSING.NS,NSE,Financial Services,,True
PTCIL,PTCIL.NS,NSE,Capital Goods,,True
PVRINOX,PVRINOX.NS,NSE,Media Entertainment & Publication,,True
PAGEIND,PAGEIND.NS,NSE,Textiles,,True
PARADEEP,PARADEEP.NS,NSE,Chemicals,,True
PATANJALI,PATANJALI.NS,NSE,Fast Moving Consumer Goods,,True
PERSISTENT,PERSISTENT.NS,NSE,Information Technology,,True
PETRONET,PETRONET.NS,NSE,Oil Gas & Consumable Fuels,,True
PFIZER,PFIZER.NS,NSE,Healthcare,,True
PHOENIXLTD,PHOENIXLTD.NS,NSE,Realty,,True
PWL,PWL.NS,NSE,Consumer Services,,True
PIDILITIND,PIDILITIND.NS,NSE,Chemicals,,True
PINELABS,PINELABS.NS,NSE,Financial Services,,True
PIRAMALFIN,PIRAMALFIN.NS,NSE,Financial Services,,True
PPLPHARMA,PPLPHARMA.NS,NSE,Healthcare,,True
POLYMED,POLYMED.NS,NSE,Healthcare,,True
POLYCAB,POLYCAB.NS,NSE,Capital Goods,,True
POONAWALLA,POONAWALLA.NS,NSE,Financial Services,,True
PFC,PFC.NS,NSE,Financial Services,,True
POWERGRID,POWERGRID.NS,NSE,Power,,True
PREMIERENE,PREMIERENE.NS,NSE,Capital Goods,,True
PRESTIGE,PRESTIGE.NS,NSE,Realty,,True
PNB,PNB.NS,NSE,Financial Services,,True
RRKABEL,RRKABEL.NS,NSE,Capital Goods,,True
RBLBANK,RBLBANK.NS,NSE,Financial Services,,True
RECLTD,RECLTD.NS,NSE,Financial Services,,True
RHIM,RHIM.NS,NSE,Capital Goods,,True
RITES,RITES.NS,NSE,Construction,,True
RADICO,RADICO.NS,NSE,Fast Moving Consumer Goods,,True
RVNL,RVNL.NS,NSE,Construction,,True
RAILTEL,RAILTEL.NS,NSE,Telecommunication,,True
RAINBOW,RAINBOW.NS,NSE,Healthcare,,True
