symbol,entry_date,entry_time,prev_close,gap_pct,first_candle_high,first_candle_low,entry,sl,tp,quantity,position_value,risk_amount,exit_date,exit_time,exit_price,exit_reason,pnl_rupees,r_multiple,holding_days
BSE,2026-06-15,2026-06-15 09:15:00,4041.1,2.69,4192.3,4048.0,4196.49,4048.0,4419.22,16,67143.84,2375.84,2026-06-17,2026-06-17 11:15:00,4048.0,SL_HIT,-2375.84,-1.0,2
BAJFINANCE,2026-05-25,2026-05-25 09:15:00,916.55,1.04,939.45,924.45,940.39,924.45,964.3,106,99681.34,1689.64,2026-05-27,2026-05-27 09:15:00,924.45,SL_HIT,-1689.64,-1.0,2
BAJFINANCE,2026-06-15,2026-06-15 09:15:00,918.3,2.58,957.0,940.95,957.96,940.95,983.48,104,99627.84,1769.04,2026-06-18,2026-06-18 15:15:00,958.7,TIME_EXIT,76.96,0.04,3
BAJAJHLDNG,2026-05-06,2026-05-06 09:15:00,10469.0,1.25,10798.0,10528.0,10808.8,10528.0,11230.0,8,86470.4,2246.4,2026-05-08,2026-05-08 09:15:00,10528.0,SL_HIT,-2246.4,-1.0,2
BALRAMCHIN,2026-06-11,2026-06-11 09:15:00,536.55,1.02,551.75,541.05,552.3,541.05,569.17,181,99966.3,2036.25,2026-06-12,2026-06-12 09:15:00,541.05,SL_HIT,-2036.25,-1.0,1
BALRAMCHIN,2026-06-15,2026-06-15 09:15:00,539.95,2.77,570.0,551.35,570.57,551.35,599.4,130,74174.1,2498.6,2026-06-17,2026-06-17 09:15:00,551.35,SL_HIT,-2498.6,-1.0,2
BANDHANBNK,2026-06-15,2026-06-15 09:15:00,204.6,1.66,212.5,208.0,212.71,208.0,219.78,470,99973.7,2213.7,2026-06-16,2026-06-16 11:15:00,208.0,SL_HIT,-2213.7,-1.0,1
MAHABANK,2026-05-06,2026-05-06 09:15:00,81.24,1.24,84.15,82.14,84.23,82.14,87.37,1187,99981.01,2480.83,2026-05-11,2026-05-11 09:15:00,82.14,SL_HIT,-2480.83,-1.0,5
MAHABANK,2026-06-15,2026-06-15 09:15:00,87.3,1.5,91.1,88.5,91.19,88.5,95.22,929,84715.51,2499.01,2026-06-16,2026-06-16 09:15:00,88.5,SL_HIT,-2499.01,-1.0,1
BELRISE,2026-05-06,2026-05-06 09:15:00,213.26,1.03,222.75,214.54,222.97,214.54,235.62,296,65999.12,2495.28,2026-05-11,2026-05-11 15:15:00,218.5,TIME_EXIT,-1323.12,-0.53,5
BELRISE,2026-05-21,2026-05-21 09:15:00,209.98,1.06,216.5,211.55,216.72,211.55,224.47,461,99907.92,2383.37,2026-05-25,2026-05-25 09:15:00,211.55,SL_HIT,-2383.37,-1.0,4
BELRISE,2026-06-09,2026-06-09 09:15:00,215.72,2.58,233.15,221.28,233.38,221.28,251.53,206,48076.28,2492.6,2026-06-11,2026-06-11 09:15:00,221.28,SL_HIT,-2492.6,-1.0,2
BELRISE,2026-06-15,2026-06-15 09:15:00,228.23,1.22,239.2,231.0,239.44,231.0,252.1,296,70874.24,2498.24,2026-06-18,2026-06-18 15:15:00,239.0,TIME_EXIT,-130.24,-0.05,3
BERGEPAINT,2026-05-13,2026-05-13 09:15:00,488.1,3.46,533.35,504.95,533.88,504.95,577.27,86,45913.68,2487.98,2026-05-18,2026-05-18 15:15:00,525.0,TIME_EXIT,-763.68,-0.31,5
BHARATFORG,2026-06-15,2026-06-15 09:15:00,1945.1,1.36,1984.4,1954.8,1986.38,1954.8,2033.75,50,99319.0,1579.0,2026-06-16,2026-06-16 09:15:00,2033.75,TP_HIT,2368.5,1.5,1
BPCL,2026-06-17,2026-06-17 09:15:00,312.1,1.25,319.35,315.3,319.67,315.3,326.23,312,99737.04,1363.44,2026-06-18,2026-06-18 14:15:00,315.3,SL_HIT,-1363.44,-1.0,1
GROWW,2026-05-13,2026-05-13 09:15:00,183.09,1.04,192.3,184.56,192.49,184.56,204.39,315,60634.35,2497.95,2026-05-14,2026-05-14 09:15:00,184.56,SL_HIT,-2497.95,-1.0,1
GROWW,2026-06-15,2026-06-15 09:15:00,198.97,1.98,206.79,198.81,207.0,198.81,219.28,305,63135.0,2497.95,2026-06-16,2026-06-16 10:15:00,198.81,SL_HIT,-2497.95,-1.0,1
BIOCON,2026-05-06,2026-05-06 09:15:00,368.25,1.24,382.55,371.05,382.93,371.05,400.75,210,80415.3,2494.8,2026-05-11,2026-05-11 15:15:00,392.05,TIME_EXIT,1915.2,0.77,5
BOSCHLTD,2026-06-12,2026-06-12 09:15:00,37565.0,2.01,39450.0,38310.0,39489.45,38310.0,41258.62,2,78978.9,2358.9,2026-06-15,2026-06-15 15:15:00,39025.0,TIME_EXIT,-928.9,-0.39,3
BRIGADE,2026-06-17,2026-06-17 09:15:00,540.2,3.61,595.95,555.05,596.55,555.05,658.8,60,35793.0,2490.0,2026-06-18,2026-06-18 09:15:00,555.05,SL_HIT,-2490.0,-1.0,1
CESC,2026-05-25,2026-05-25 09:15:00,177.22,1.57,186.49,180.0,186.68,180.0,196.7,374,69818.32,2498.32,2026-05-29,2026-05-29 15:15:00,181.55,TIME_EXIT,-1918.62,-0.77,4
CGPOWER,2026-05-07,2026-05-07 09:15:00,828.9,1.52,863.8,830.05,864.66,830.05,916.58,72,62255.52,2491.92,2026-05-11,2026-05-11 15:15:00,858.2,TIME_EXIT,-465.12,-0.19,4
CARTRADE,2026-06-03,2026-06-03 09:15:00,1795.0,3.18,1930.8,1823.3,1932.73,1823.3,2096.88,22,42520.06,2407.46,2026-06-08,2026-06-08 15:15:00,2072.0,TIME_EXIT,3063.94,1.27,5
CASTROLIND,2026-06-15,2026-06-15 09:15:00,182.68,1.26,186.9,184.5,187.09,184.5,190.98,534,99906.06,1383.06,2026-06-16,2026-06-16 14:15:00,184.5,SL_HIT,-1383.06,-1.0,1
CEATLTD,2026-06-15,2026-06-15 09:15:00,3334.3,2.57,3471.9,3401.3,3475.37,3401.3,3586.47,28,97310.36,2073.96,2026-06-16,2026-06-16 13:15:00,3401.3,SL_HIT,-2073.96,-1.0,1
CEMPRO,2026-06-09,2026-06-09 09:15:00,1094.4,2.0,1181.9,1104.5,1183.08,1104.5,1300.95,31,36675.48,2435.98,2026-06-12,2026-06-12 15:15:00,1128.7,TIME_EXIT,-1685.78,-0.69,3
CHAMBLFERT,2026-05-15,2026-05-15 09:15:00,424.6,2.78,448.9,431.05,449.35,431.05,476.8,136,61111.6,2488.8,2026-05-18,2026-05-18 15:15:00,457.8,TIME_EXIT,1149.2,0.46,3
CHAMBLFERT,2026-06-10,2026-06-10 09:15:00,454.75,1.37,477.0,460.0,477.48,460.0,503.7,143,68279.64,2499.64,2026-06-15,2026-06-15 15:15:00,475.0,TIME_EXIT,-354.64,-0.14,5
CHENNPETRO,2026-06-15,2026-06-15 09:15:00,1137.7,1.78,1214.0,1155.0,1215.21,1155.0,1305.53,41,49823.61,2468.61,2026-06-18,2026-06-18 09:15:00,1155.0,SL_HIT,-2468.61,-1.0,3
CHOICEIN,2026-06-15,2026-06-15 09:15:00,673.5,1.71,697.0,685.0,697.7,685.0,716.75,143,99771.1,1816.1,2026-06-17,2026-06-17 09:15:00,716.75,TP_HIT,2724.15,1.5,2
CHOICEIN,2026-06-30,2026-06-30 09:15:00,745.2,1.05,755.9,749.5,756.66,749.5,767.4,132,99879.12,945.12,2026-07-02,2026-07-02 09:15:00,767.4,TP_HIT,1417.68,1.5,2
CHOLAFIN,2026-06-15,2026-06-15 09:15:00,1568.1,2.67,1659.0,1607.3,1660.66,1607.3,1740.7,46,76390.36,2454.56,2026-06-18,2026-06-18 15:15:00,1691.6,TIME_EXIT,1423.24,0.58,3
CIPLA,2026-05-14,2026-05-14 09:15:00,1327.6,2.61,1432.1,1362.2,1433.53,1362.2,1540.52,35,50173.55,2496.55,2026-05-18,2026-05-18 15:15:00,1427.5,TIME_EXIT,-211.05,-0.08,4
CIPLA,2026-06-22,2026-06-22 09:15:00,1351.8,1.49,1403.0,1370.6,1404.4,1370.6,1455.1,71,99712.4,2399.8,2026-06-23,2026-06-23 10:15:00,1455.1,TP_HIT,3599.7,1.5,1
CUB,2026-06-12,2026-06-12 09:15:00,192.6,2.49,202.1,196.5,202.3,196.5,211.0,431,87191.3,2499.8,2026-06-15,2026-06-15 15:15:00,199.3,TIME_EXIT,-1293.0,-0.52,3
CLEAN,2026-05-07,2026-05-07 09:15:00,859.15,1.23,875.35,860.1,876.23,860.1,900.42,114,99890.22,1838.82,2026-05-11,2026-05-11 15:15:00,860.1,SL_HIT,-1838.82,-1.0,4
COFORGE,2026-05-19,2026-05-19 09:15:00,1348.1,1.25,1420.0,1360.3,1421.42,1360.3,1513.1,40,56856.8,2444.8,2026-05-22,2026-05-22 15:15:00,1383.0,TIME_EXIT,-1536.8,-0.63,3
COFORGE,2026-06-01,2026-06-01 09:15:00,1421.8,1.15,1477.4,1438.1,1478.88,1438.1,1540.05,61,90211.68,2487.58,2026-06-02,2026-06-02 10:15:00,1540.05,TP_HIT,3731.37,1.5,1
COFORGE,2026-06-16,2026-06-16 09:15:00,1402.5,1.24,1444.7,1405.1,1446.14,1405.1,1507.7,60,86768.4,2462.4,2026-06-19,2026-06-19 09:15:00,1405.1,SL_HIT,-2462.4,-1.0,3
COHANCE,2026-05-06,2026-05-06 09:15:00,454.15,1.07,499.0,459.0,499.5,459.0,560.25,61,30469.5,2470.5,2026-05-11,2026-05-11 15:15:00,479.0,TIME_EXIT,-1250.5,-0.51,5
CAMS,2026-05-25,2026-05-25 09:15:00,757.2,1.05,778.6,765.15,779.38,765.15,800.73,128,99760.64,1821.44,2026-05-26,2026-05-26 09:15:00,765.15,SL_HIT,-1821.44,-1.0,1
CAMS,2026-06-15,2026-06-15 09:15:00,757.55,1.38,785.8,768.0,786.59,768.0,814.48,127,99896.93,2360.93,2026-06-18,2026-06-18 09:15:00,814.48,TP_HIT,3542.03,1.5,3
DCMSHRIRAM,2026-05-06,2026-05-06 09:15:00,1245.2,1.27,1315.1,1236.4,1316.42,1236.4,1436.45,31,40809.02,2480.62,2026-05-08,2026-05-08 13:15:00,1236.4,SL_HIT,-2480.62,-1.0,2
DLF,2026-06-15,2026-06-15 09:15:00,587.05,2.38,607.15,598.3,607.76,598.3,621.95,164,99672.64,1551.44,2026-06-16,2026-06-16 09:15:00,621.95,TP_HIT,2327.16,1.5,1
DATAPATTNS,2026-05-21,2026-05-21 09:15:00,3834.1,1.98,4007.9,3885.2,4011.91,3885.2,4201.98,19,76226.29,2407.49,2026-05-25,2026-05-25 15:15:00,4095.1,TIME_EXIT,1580.61,0.66,4
DATAPATTNS,2026-06-12,2026-06-12 09:15:00,4205.0,2.02,4370.0,4253.5,4374.37,4253.5,4555.67,20,87487.4,2417.4,2026-06-15,2026-06-15 09:15:00,4555.67,TP_HIT,3626.0,1.5,3
DEEPAKFERT,2026-06-01,2026-06-01 09:15:00,1410.1,1.09,1474.6,1425.4,1476.07,1425.4,1552.07,49,72327.43,2482.83,2026-06-02,2026-06-02 09:15:00,1425.4,SL_HIT,-2482.83,-1.0,1
DEEPAKNTR,2026-05-19,2026-05-19 09:15:00,1748.5,1.14,1860.0,1760.1,1861.86,1760.1,2014.5,24,44684.64,2442.24,2026-05-21,2026-05-21 14:15:00,1760.1,SL_HIT,-2442.24,-1.0,2
