symbol,entry_date,high_52wk,breakout_level,entry,sl,tp,quantity,position_value,risk_amount,volume_ratio,exit_date,exit_price,exit_reason,pnl_rupees,r_multiple,holding_days
ASTRAL,2024-05-17,2279.0,2283.56,2303.0,2279.0,2351.0,43,99029.0,1032.0,2.11,2024-05-18,2279.0,SL_HIT,-1032.0,-1.0,1
ASTRAL,2024-06-24,2352.0,2356.7,2384.4,2352.0,2449.2,41,97760.4,1328.4,3.13,2024-06-26,2449.2,TP_HIT,2656.8,2.0,2
ASTRAL,2026-02-16,1615.5,1618.73,1639.8,1615.5,1688.4,60,98388.0,1458.0,2.14,2026-02-17,1615.5,SL_HIT,-1458.0,-1.0,1
ASTRAL,2026-03-11,1705.2,1708.61,1746.3,1705.2,1828.5,57,99539.1,2342.7,3.89,2026-03-12,1705.2,SL_HIT,-2342.7,-1.0,1
ATHERENERG,2026-06-29,1069.0,1071.14,1083.75,1069.0,1113.25,92,99705.0,1357.0,2.91,2026-06-30,1069.0,SL_HIT,-1357.0,-1.0,1
ATUL,2024-07-29,7598.0,7613.2,7868.75,7598.0,8410.25,9,70818.75,2436.75,2.86,2024-08-13,7635.0,TIME_EXIT,-2103.75,-0.86,15
AUROPHARMA,2023-05-16,623.55,624.8,641.45,623.55,677.25,139,89161.55,2488.1,3.0,2023-05-17,623.55,SL_HIT,-2488.1,-1.0,1
AUROPHARMA,2023-05-30,648.2,649.5,650.75,648.2,655.85,153,99564.75,390.15,6.43,2023-05-31,648.2,SL_HIT,-390.15,-1.0,1
AUROPHARMA,2023-06-23,692.0,693.38,699.15,692.0,713.45,143,99978.45,1022.45,2.11,2023-06-26,713.45,TP_HIT,2044.9,2.0,3
AUROPHARMA,2023-06-28,725.3,726.75,738.75,725.3,765.65,135,99731.25,1815.75,1.88,2023-07-03,725.3,SL_HIT,-1815.75,-1.0,5
AUROPHARMA,2023-07-06,741.85,743.33,761.3,741.85,800.2,128,97446.4,2489.6,2.17,2023-07-07,741.85,SL_HIT,-2489.6,-1.0,1
AUROPHARMA,2023-07-27,796.5,798.09,835.55,796.5,913.65,64,53475.2,2499.2,3.44,2023-08-11,863.15,TIME_EXIT,1766.4,0.71,15
