symbol,trade_date,entry_time,or_high,or_low,or_range_pct,entry,sl,tp,quantity,position_value,risk_amount,exit_time,exit_price,exit_reason,pnl_rupees,r_multiple,gap_pct
TECHM,2026-05-29,2026-05-29 14:15:00,1444.2,1423.1,1.48,1444.2,1423.1,1475.85,69,99649.8,1455.9,2026-05-29 15:15:00,1445.5,EOD_EXIT,89.7,0.06,1.47
TECHM,2026-06-08,2026-06-08 14:15:00,1452.3,1422.0,2.13,1452.3,1422.0,1497.75,68,98756.4,2060.4,2026-06-08 15:15:00,1465.7,EOD_EXIT,911.2,0.44,-0.97
TATACONSUM,2026-05-08,2026-05-08 12:15:00,1173.9,1155.0,1.64,1173.9,1155.0,1202.25,85,99781.5,1606.5,2026-05-08 15:15:00,1176.8,EOD_EXIT,246.5,0.15,0.29
TATACONSUM,2026-05-15,2026-05-15 10:15:00,1241.0,1225.8,1.24,1241.0,1225.8,1263.8,80,99280.0,1216.0,2026-05-15 15:15:00,1235.6,EOD_EXIT,-432.0,-0.36,0.04
TATACONSUM,2026-05-20,2026-05-20 11:15:00,1209.5,1194.2,1.28,1209.5,1194.2,1232.45,82,99179.0,1254.6,2026-05-20 15:15:00,1208.5,EOD_EXIT,-82.0,-0.07,-0.31
TATACONSUM,2026-05-26,2026-05-26 12:15:00,1194.0,1174.5,1.66,1194.0,1174.5,1223.25,83,99102.0,1618.5,2026-05-26 15:15:00,1188.5,EOD_EXIT,-456.5,-0.28,0.38
TATACONSUM,2026-05-27,2026-05-27 12:15:00,1199.1,1184.7,1.22,1199.1,1184.7,1220.7,83,99525.3,1195.2,2026-05-27 15:15:00,1205.0,EOD_EXIT,489.7,0.41,0.2
TATACONSUM,2026-06-04,2026-06-04 10:15:00,1159.9,1135.0,2.19,1159.9,1135.0,1197.25,86,99751.4,2141.4,2026-06-04 15:15:00,1150.6,EOD_EXIT,-799.8,-0.37,-0.79
DIVISLAB,2026-05-22,2026-05-22 13:15:00,6896.5,6802.0,1.39,6896.5,6802.0,7038.25,14,96551.0,1323.0,2026-05-22 15:15:00,6889.0,EOD_EXIT,-105.0,-0.08,0.0
DIVISLAB,2026-05-27,2026-05-27 12:15:00,6785.0,6730.5,0.81,6785.0,6730.5,6866.75,14,94990.0,763.0,2026-05-27 15:15:00,6801.5,EOD_EXIT,231.0,0.3,0.47
